क	[41858]
का	[41858, 17937]
कि	[41858, 33279]
की	[41858, 31881]
कु	[41858, 8703, 223]
कू	[41858, 8703, 224]
के	[41858, 21981]
कै	[41858, 43372]
को	[41858, 33926]
कौ	[41858, 8703, 234]
कं	[41858, 31945]
कः	[41858, 3941, 225]
ख	[3941, 244]
खा	[3941, 244, 17937]
खि	[3941, 244, 33279]
खी	[3941, 244, 31881]
खु	[3941, 244, 8703, 223]
खू	[3941, 244, 8703, 224]
खे	[3941, 244, 21981]
खै	[3941, 244, 43372]
खो	[3941, 244, 33926]
खौ	[3941, 244, 8703, 234]
खं	[3941, 244, 31945]
खः	[3941, 244, 3941, 225]
ग	[3941, 245]
गा	[3941, 245, 17937]
गि	[3941, 245, 33279]
गी	[3941, 245, 31881]
गु	[3941, 245, 8703, 223]
गू	[3941, 245, 8703, 224]
गे	[3941, 245, 21981]
गै	[3941, 245, 43372]
गो	[3941, 245, 33926]
गौ	[3941, 245, 8703, 234]
गं	[3941, 245, 31945]
गः	[3941, 245, 3941, 225]
घ	[3941, 246]
घा	[3941, 246, 17937]
घि	[3941, 246, 33279]
घी	[3941, 246, 31881]
घु	[3941, 246, 8703, 223]
घू	[3941, 246, 8703, 224]
घे	[3941, 246, 21981]
घै	[3941, 246, 43372]
घो	[3941, 246, 33926]
घौ	[3941, 246, 8703, 234]
घं	[3941, 246, 31945]
घः	[3941, 246, 3941, 225]
ङ	[3941, 247]
ङा	[3941, 247, 17937]
ङि	[3941, 247, 33279]
ङी	[3941, 247, 31881]
ङु	[3941, 247, 8703, 223]
ङू	[3941, 247, 8703, 224]
ङे	[3941, 247, 21981]
ङै	[3941, 247, 43372]
ङो	[3941, 247, 33926]
ङौ	[3941, 247, 8703, 234]
ङं	[3941, 247, 31945]
ङः	[3941, 247, 3941, 225]
च	[3941, 248]
चा	[3941, 248, 17937]
चि	[3941, 248, 33279]
ची	[3941, 248, 31881]
चु	[3941, 248, 8703, 223]
चू	[3941, 248, 8703, 224]
चे	[3941, 248, 21981]
चै	[3941, 248, 43372]
चो	[3941, 248, 33926]
चौ	[3941, 248, 8703, 234]
चं	[3941, 248, 31945]
चः	[3941, 248, 3941, 225]
छ	[3941, 249]
छा	[3941, 249, 17937]
छि	[3941, 249, 33279]
छी	[3941, 249, 31881]
छु	[3941, 249, 8703, 223]
छू	[3941, 249, 8703, 224]
छे	[3941, 249, 21981]
छै	[3941, 249, 43372]
छो	[3941, 249, 33926]
छौ	[3941, 249, 8703, 234]
छं	[3941, 249, 31945]
छः	[3941, 249, 3941, 225]
ज	[3941, 250]
जा	[3941, 250, 17937]
जि	[3941, 250, 33279]
जी	[3941, 250, 31881]
जु	[3941, 250, 8703, 223]
जू	[3941, 250, 8703, 224]
जे	[3941, 250, 21981]
जै	[3941, 250, 43372]
जो	[3941, 250, 33926]
जौ	[3941, 250, 8703, 234]
जं	[3941, 250, 31945]
जः	[3941, 250, 3941, 225]
झ	[3941, 251]
झा	[3941, 251, 17937]
झि	[3941, 251, 33279]
झी	[3941, 251, 31881]
झु	[3941, 251, 8703, 223]
झू	[3941, 251, 8703, 224]
झे	[3941, 251, 21981]
झै	[3941, 251, 43372]
झो	[3941, 251, 33926]
झौ	[3941, 251, 8703, 234]
झं	[3941, 251, 31945]
झः	[3941, 251, 3941, 225]
ञ	[3941, 252]
ञा	[3941, 252, 17937]
ञि	[3941, 252, 33279]
ञी	[3941, 252, 31881]
ञु	[3941, 252, 8703, 223]
ञू	[3941, 252, 8703, 224]
ञे	[3941, 252, 21981]
ञै	[3941, 252, 43372]
ञो	[3941, 252, 33926]
ञौ	[3941, 252, 8703, 234]
ञं	[3941, 252, 31945]
ञः	[3941, 252, 3941, 225]
ट	[3941, 253]
टा	[3941, 253, 17937]
टि	[3941, 253, 33279]
टी	[3941, 253, 31881]
टु	[3941, 253, 8703, 223]
टू	[3941, 253, 8703, 224]
टे	[3941, 253, 21981]
टै	[3941, 253, 43372]
टो	[3941, 253, 33926]
टौ	[3941, 253, 8703, 234]
टं	[3941, 253, 31945]
टः	[3941, 253, 3941, 225]
ठ	[3941, 254]
ठा	[3941, 254, 17937]
ठि	[3941, 254, 33279]
ठी	[3941, 254, 31881]
ठु	[3941, 254, 8703, 223]
ठू	[3941, 254, 8703, 224]
ठे	[3941, 254, 21981]
ठै	[3941, 254, 43372]
ठो	[3941, 254, 33926]
ठौ	[3941, 254, 8703, 234]
ठं	[3941, 254, 31945]
ठः	[3941, 254, 3941, 225]
ड	[3941, 94]
डा	[3941, 94, 17937]
डि	[3941, 94, 33279]
डी	[3941, 94, 31881]
डु	[3941, 94, 8703, 223]
डू	[3941, 94, 8703, 224]
डे	[3941, 94, 21981]
डै	[3941, 94, 43372]
डो	[3941, 94, 33926]
डौ	[3941, 94, 8703, 234]
डं	[3941, 94, 31945]
डः	[3941, 94, 3941, 225]
ढ	[3941, 95]
ढा	[3941, 95, 17937]
ढि	[3941, 95, 33279]
ढी	[3941, 95, 31881]
ढु	[3941, 95, 8703, 223]
ढू	[3941, 95, 8703, 224]
ढे	[3941, 95, 21981]
ढै	[3941, 95, 43372]
ढो	[3941, 95, 33926]
ढौ	[3941, 95, 8703, 234]
ढं	[3941, 95, 31945]
ढः	[3941, 95, 3941, 225]
ण	[3941, 96]
णा	[3941, 96, 17937]
णि	[3941, 96, 33279]
णी	[3941, 96, 31881]
णु	[3941, 96, 8703, 223]
णू	[3941, 96, 8703, 224]
णे	[3941, 96, 21981]
णै	[3941, 96, 43372]
णो	[3941, 96, 33926]
णौ	[3941, 96, 8703, 234]
णं	[3941, 96, 31945]
णः	[3941, 96, 3941, 225]
त	[36158]
ता	[36158, 17937]
ति	[36158, 33279]
ती	[36158, 31881]
तु	[36158, 8703, 223]
तू	[36158, 8703, 224]
ते	[36158, 21981]
तै	[36158, 43372]
तो	[36158, 33926]
तौ	[36158, 8703, 234]
तं	[36158, 31945]
तः	[36158, 3941, 225]
थ	[3941, 98]
था	[3941, 98, 17937]
थि	[3941, 98, 33279]
थी	[3941, 98, 31881]
थु	[3941, 98, 8703, 223]
थू	[3941, 98, 8703, 224]
थे	[3941, 98, 21981]
थै	[3941, 98, 43372]
थो	[3941, 98, 33926]
थौ	[3941, 98, 8703, 234]
थं	[3941, 98, 31945]
थः	[3941, 98, 3941, 225]
द	[3941, 99]
दा	[3941, 99, 17937]
दि	[3941, 99, 33279]
दी	[3941, 99, 31881]
दु	[3941, 99, 8703, 223]
दू	[3941, 99, 8703, 224]
दे	[3941, 99, 21981]
दै	[3941, 99, 43372]
दो	[3941, 99, 33926]
दौ	[3941, 99, 8703, 234]
दं	[3941, 99, 31945]
दः	[3941, 99, 3941, 225]
ध	[3941, 100]
धा	[3941, 100, 17937]
धि	[3941, 100, 33279]
धी	[3941, 100, 31881]
धु	[3941, 100, 8703, 223]
धू	[3941, 100, 8703, 224]
धे	[3941, 100, 21981]
धै	[3941, 100, 43372]
धो	[3941, 100, 33926]
धौ	[3941, 100, 8703, 234]
धं	[3941, 100, 31945]
धः	[3941, 100, 3941, 225]
न	[35082]
ना	[35082, 17937]
नि	[35082, 33279]
नी	[35082, 31881]
नु	[35082, 8703, 223]
नू	[35082, 8703, 224]
ने	[35082, 21981]
नै	[35082, 43372]
नो	[35082, 33926]
नौ	[35082, 8703, 234]
नं	[35082, 31945]
नः	[35082, 3941, 225]
प	[3941, 103]
पा	[3941, 103, 17937]
पि	[3941, 103, 33279]
पी	[3941, 103, 31881]
पु	[3941, 103, 8703, 223]
पू	[3941, 103, 8703, 224]
पे	[3941, 103, 21981]
पै	[3941, 103, 43372]
पो	[3941, 103, 33926]
पौ	[3941, 103, 8703, 234]
पं	[3941, 103, 31945]
पः	[3941, 103, 3941, 225]
फ	[3941, 104]
फा	[3941, 104, 17937]
फि	[3941, 104, 33279]
फी	[3941, 104, 31881]
फु	[3941, 104, 8703, 223]
फू	[3941, 104, 8703, 224]
फे	[3941, 104, 21981]
फै	[3941, 104, 43372]
फो	[3941, 104, 33926]
फौ	[3941, 104, 8703, 234]
फं	[3941, 104, 31945]
फः	[3941, 104, 3941, 225]
ब	[3941, 105]
बा	[3941, 105, 17937]
बि	[3941, 105, 33279]
बी	[3941, 105, 31881]
बु	[3941, 105, 8703, 223]
बू	[3941, 105, 8703, 224]
बे	[3941, 105, 21981]
बै	[3941, 105, 43372]
बो	[3941, 105, 33926]
बौ	[3941, 105, 8703, 234]
बं	[3941, 105, 31945]
बः	[3941, 105, 3941, 225]
भ	[3941, 255]
भा	[3941, 255, 17937]
भि	[3941, 255, 33279]
भी	[3941, 255, 31881]
भु	[3941, 255, 8703, 223]
भू	[3941, 255, 8703, 224]
भे	[3941, 255, 21981]
भै	[3941, 255, 43372]
भो	[3941, 255, 33926]
भौ	[3941, 255, 8703, 234]
भं	[3941, 255, 31945]
भः	[3941, 255, 3941, 225]
म	[48521]
मा	[48521, 17937]
मि	[48521, 33279]
मी	[48521, 31881]
मु	[48521, 8703, 223]
मू	[48521, 8703, 224]
मे	[48521, 21981]
मै	[48521, 43372]
मो	[48521, 33926]
मौ	[48521, 8703, 234]
मं	[48521, 31945]
मः	[48521, 3941, 225]
य	[48268]
या	[48268, 17937]
यि	[48268, 33279]
यी	[48268, 31881]
यु	[48268, 8703, 223]
यू	[48268, 8703, 224]
ये	[48268, 21981]
यै	[48268, 43372]
यो	[48268, 33926]
यौ	[48268, 8703, 234]
यं	[48268, 31945]
यः	[48268, 3941, 225]
र	[25411]
