### CONSONANTS ###
क	[41858]
ख	[3941, 244]
ग	[3941, 245]
घ	[3941, 246]
ङ	[3941, 247]
च	[3941, 248]
छ	[3941, 249]
ज	[3941, 250]
झ	[3941, 251]
ञ	[3941, 252]
ट	[3941, 253]
ठ	[3941, 254]
ड	[3941, 94]
ढ	[3941, 95]
ण	[3941, 96]
त	[36158]
ह	[37139]
थ	[3941, 98]
द	[3941, 99]
ध	[3941, 100]
न	[35082]
प	[3941, 103]
फ	[3941, 104]
ब	[3941, 105]
भ	[3941, 255]
म	[48521]
म	[48449]
य	[48268]
र	[25411]
ल	[46758]
व	[3941, 113]
श	[3941, 114]
ष	[3941, 115]
स	[45938]
स	[49316]
ह	[44500]
क्ष	[41858, 27099, 3941, 115]
त्र	[36158, 27099, 25411]
ज्ञ	[3941, 250, 27099, 3941, 252]
श्र	[3941, 114, 27099, 25411]

### VOWELS (SWAR) ###
अ	[3941, 227]
आ	[3941, 228]
इ	[3941, 229]
ई	[3941, 230]
उ	[3941, 231]
ऊ	[3941, 232]
ऋ	[3941, 233]
ए	[3941, 237]
ऐ	[3941, 238]
ओ	[3941, 241]
औ	[3941, 242]
अं	[3941, 227, 31945]
अः	[3941, 227, 3941, 225]

### MATRAS ###
	[]
ा	[17937]
ि	[33279]
ी	[31881]
ु	[8703, 223]
ू	[8703, 224]
े	[21981]
ै	[43372]
ो	[33926]
ौ	[8703, 234]
ं	[31945]
ः	[3941, 225]
